ColumnaX,ColumnaZ,ColumnaY
1.970,29.898,1269
1.972,29.942,1270
1.976,30.058,1271
1.981,30.211,1272
1.976,30.050,1273
1.970,29.878,1274
1.977,30.107,1275
1.976,30.050,1276
1.988,30.417,1277
1.981,30.203,1278
1.981,30.223,1279
1.984,30.300,1280
1.978,30.135,1281
1.985,30.328,1282
1.977,30.107,1283
1.986,30.369,1284
1.990,30.482,1285
1.988,30.421,1286
1.974,30.014,1287
1.985,30.352,1288
1.977,30.095,1289
1.964,29.702,1290
1.963,29.658,1291
1.965,29.722,1292
1.960,29.570,1293
1.987,30.405,1294
1.978,30.131,1295
1.968,29.822,1296
1.979,30.143,1297
1.993,30.575,1298
1.991,30.526,1299
1.983,30.272,1300
1.994,30.624,1301
1.993,30.591,1302
1.986,30.361,1303
1.991,30.539,1304
1.985,30.340,1305
1.981,30.231,1306
1.985,30.332,1307
1.985,30.348,1308
1.970,29.874,1309
1.966,29.758,1310
1.980,30.179,1311
1.981,30.231,1312
1.986,30.377,1313
1.978,30.119,1314
1.976,30.054,1315
1.982,30.235,1316
1.980,30.195,1317
1.984,30.316,1318
1.987,30.401,1319
1.979,30.167,1320
1.982,30.248,1321
1.980,30.179,1322
1.979,30.151,1323
1.970,29.890,1324
1.973,29.982,1325
1.985,30.340,1326
1.968,29.834,1327
1.974,30.018,1328
1.975,30.046,1329
1.966,29.762,1330
1.969,29.842,1331
1.969,29.838,1332
1.970,29.870,1333
1.967,29.790,1334
1.968,29.814,1335
1.968,29.814,1336
1.960,29.594,1337
1.962,29.646,1338
1.960,29.586,1339
1.951,29.315,1340
1.960,29.578,1341
1.971,29.906,1342
1.965,29.718,1343
1.973,29.962,1344
1.978,30.131,1345
1.972,29.942,1346
1.966,29.770,1347
1.968,29.830,1348
1.967,29.790,1349
1.960,29.582,1350
1.966,29.758,1351
